lightsalmon;#FFA07A;255;160;122;0.5015;0.3530;RED;lightsalmon #FFA07A 255 160 122 0.5015 0.3530 RED
salmon;#FA8072;250;128;114;0.5347;0.3256;RED;salmon #FA8072 250 128 114 0.5347 0.3256 RED
darksalmon;#E9967A;233;150;122;0.4849;0.3476;RED;darksalmon #E9967A 233 150 122 0.4849 0.3476 RED
lightcoral;#F08080;240;128;128;0.5065;0.3145;RED;lightcoral #F08080 240 128 128 0.5065 0.3145 RED
indianred;#CD5C5C;205;92;92;0.5475;0.3113;RED;indianred #CD5C5C 205 92 92 0.5475 0.3113 RED
crimson;#DC143C;220;20;60;0.6435;0.3045;RED;crimson #DC143C 220 20 60 0.6435 0.3045 RED
firebrick;#B22222;178;34;34;0.6554;0.3111;RED;firebrick #B22222 178 34 34 0.6554 0.3111 RED
red;#FF0000;255;0;0;0.675;0.322;RED;red #FF0000 255 0 0 0.675 0.322 RED
darkred;#8B0000;139;0;0;0.675;0.322;RED;darkred #8B0000 139 0 0 0.675 0.322 RED
coral;#FF7F50;255;127;80;0.5754;0.3480;ORANGE;coral #FF7F50 255 127 80 0.5754 0.3480 ORANGE
tomato;#FF6347;255;99;71;0.6111;0.3260;ORANGE;tomato #FF6347 255 99 71 0.6111 0.3260 ORANGE
orangered;#FF4500;255;69;0;0.6725;0.3230;ORANGE;orangered #FF4500 255 69 0 0.6725 0.3230 ORANGE
gold;#FFD700;255;215;0;0.4852;0.4619;ORANGE;gold #FFD700 255 215 0 0.4852 0.4619 ORANGE
orange;#FFA500;255;165;0;0.5567;0.4091;ORANGE;orange #FFA500 255 165 0 0.5567 0.4091 ORANGE
darkorange;#FF8C00;255;140;0;0.5921;0.3830;ORANGE;darkorange #FF8C00 255 140 0 0.5921 0.3830 ORANGE
lightyellow;#FFFFE0;255;255;224;0.3435;0.3612;YELLOW;lightyellow #FFFFE0 255 255 224 0.3435 0.3612 YELLOW
lemonchiffon;#FFFACD;255;250;205;0.3594;0.3756;YELLOW;lemonchiffon #FFFACD 255 250 205 0.3594 0.3756 YELLOW
lightgoldenrodyellow;#FAFAD2;250;250;210;0.3502;0.3715;YELLOW;lightgoldenrodyellow #FAFAD2 250 250 210 0.3502 0.3715 YELLOW
papayawhip;#FFEFD5;255;239;213;0.3598;0.3546;YELLOW;papayawhip #FFEFD5 255 239 213 0.3598 0.3546 YELLOW
moccasin;#FFE4B5;255;228;181;0.3913;0.3755;YELLOW;moccasin #FFE4B5 255 228 181 0.3913 0.3755 YELLOW
peachpuff;#FFDAB9;255;218;185;0.3948;0.3597;YELLOW;peachpuff #FFDAB9 255 218 185 0.3948 0.3597 YELLOW
palegoldenrod;#EEE8AA;238;232;170;0.3762;0.3978;YELLOW;palegoldenrod #EEE8AA 238 232 170 0.3762 0.3978 YELLOW
khaki;#F0E68C;240;230;140;0.4023;0.4267;YELLOW;khaki #F0E68C 240 230 140 0.4023 0.4267 YELLOW
darkkhaki;#BDB76B;189;183;107;0.4019;0.4324;YELLOW;darkkhaki #BDB76B 189 183 107 0.4019 0.4324 YELLOW
yellow;#FFFF00;255;255;0;0.4325;0.5007;YELLOW;yellow #FFFF00 255 255 0 0.4325 0.5007 YELLOW
lawngreen;#7CFC00;124;252;0;0.4091;0.518;GREEN;lawngreen #7CFC00 124 252 0 0.4091 0.518 GREEN
chartreuse;#7FFF00;127;255;0;0.4091;0.518;GREEN;chartreuse #7FFF00 127 255 0 0.4091 0.518 GREEN
limegreen;#32CD32;50;205;50;0.4091;0.518;GREEN;limegreen #32CD32 50 205 50 0.4091 0.518 GREEN
lime;#00FF00;0;255;0;0.4091;0.518;GREEN;lime #00FF00 0 255 0 0.4091 0.518 GREEN
forestgreen;#228B22;34;139;34;0.4091;0.518;GREEN;forestgreen #228B22 34 139 34 0.4091 0.518 GREEN
green;#008000;0;128;0;0.4091;0.518;GREEN;green #008000 0 128 0 0.4091 0.518 GREEN
darkgreen;#006400;0;100;0;0.4091;0.518;GREEN;darkgreen #006400 0 100 0 0.4091 0.518 GREEN
greenyellow;#ADFF2F;173;255;47;0.4091;0.518;GREEN;greenyellow #ADFF2F 173 255 47 0.4091 0.518 GREEN
yellowgreen;#9ACD32;154;205;50;0.4091;0.518;GREEN;yellowgreen #9ACD32 154 205 50 0.4091 0.518 GREEN
springgreen;#00FF7F;0;255;127;0.3883;0.4771;GREEN;springgreen #00FF7F 0 255 127 0.3883 0.4771 GREEN
mediumspringgreen;#00FA9A;0;250;154;0.3620;0.4250;GREEN;mediumspringgreen #00FA9A 0 250 154 0.3620 0.4250 GREEN
lightgreen;#90EE90;144;238;144;0.3673;0.4356;GREEN;lightgreen #90EE90 144 238 144 0.3673 0.4356 GREEN
palegreen;#98FB98;152;251;152;0.3674;0.4358;GREEN;palegreen #98FB98 152 251 152 0.3674 0.4358 GREEN
darkseagreen;#8FBC8F;143;188;143;0.3423;0.3862;GREEN;darkseagreen #8FBC8F 143 188 143 0.3423 0.3862 GREEN
mediumseagreen;#3CB371;60;179;113;0.3584;0.4180;GREEN;mediumseagreen #3CB371 60 179 113 0.3584 0.4180 GREEN
seagreen;#2E8B57;46;139;87;0.3580;0.4172;GREEN;seagreen #2E8B57 46 139 87 0.3580 0.4172 GREEN
olive;#808000;128;128;0;0.4325;0.5007;GREEN;olive #808000 128 128 0 0.4325 0.5007 GREEN
darkolivegreen;#556B2F;85;107;47;0.3886;0.4776;GREEN;darkolivegreen #556B2F 85 107 47 0.3886 0.4776 GREEN
olivedrab;#6B8E23;107;142;35;0.4091;0.518;GREEN;olivedrab #6B8E23 107 142 35 0.4091 0.518 GREEN
lightcyan;#E0FFFF;224;255;255;0.3096;0.3216;CYAN;lightcyan #E0FFFF 224 255 255 0.3096 0.3216 CYAN
cyan;#00FFFF;0;255;255;0.2857;0.2744;CYAN;cyan #00FFFF 0 255 255 0.2857 0.2744 CYAN
aqua;#00FFFF;0;255;255;0.2857;0.2744;CYAN;aqua #00FFFF 0 255 255 0.2857 0.2744 CYAN
aquamarine;#7FFFD4;127;255;212;0.3230;0.3480;CYAN;aquamarine #7FFFD4 127 255 212 0.3230 0.3480 CYAN
mediumaquamarine;#66CDAA;102;205;170;0.3231;0.3483;CYAN;mediumaquamarine #66CDAA 102 205 170 0.3231 0.3483 CYAN
paleturquoise;#AFEEEE;175;238;238;0.3032;0.3090;CYAN;paleturquoise #AFEEEE 175 238 238 0.3032 0.3090 CYAN
turquoise;#40E0D0;64;224;208;0.3005;0.3036;CYAN;turquoise #40E0D0 64 224 208 0.3005 0.3036 CYAN
mediumturquoise;#48D1CC;72;209;204;0.2937;0.2902;CYAN;mediumturquoise #48D1CC 72 209 204 0.2937 0.2902 CYAN
darkturquoise;#00CED1;0;206;209;0.2834;0.2698;CYAN;darkturquoise #00CED1 0 206 209 0.2834 0.2698 CYAN
lightseagreen;#20B2AA;32;178;170;0.2944;0.2916;CYAN;lightseagreen #20B2AA 32 178 170 0.2944 0.2916 CYAN
cadetblue;#5F9EA0;95;158;160;0.2963;0.2953;CYAN;cadetblue #5F9EA0 95 158 160 0.2963 0.2953 CYAN
darkcyan;#008B8B;0;139;139;0.2857;0.2744;CYAN;darkcyan #008B8B 0 139 139 0.2857 0.2744 CYAN
teal;#008080;0;128;128;0.2857;0.2744;CYAN;teal #008080 0 128 128 0.2857 0.2744 CYAN
powderblue;#B0E0E6;176;224;230;0.3015;0.3057;BLUE;powderblue #B0E0E6 176 224 230 0.3015 0.3057 BLUE
lightblue;#ADD8E6;173;216;230;0.2969;0.2964;BLUE;lightblue #ADD8E6 173 216 230 0.2969 0.2964 BLUE
lightskyblue;#87CEFA;135;206;250;0.2706;0.2447;BLUE;lightskyblue #87CEFA 135 206 250 0.2706 0.2447 BLUE
skyblue;#87CEEB;135;206;235;0.2788;0.2630;BLUE;skyblue #87CEEB 135 206 235 0.2788 0.2630 BLUE
deepskyblue;#00BFFF;0;191;255;0.2425;0.1892;BLUE;deepskyblue #00BFFF 0 191 255 0.2425 0.1892 BLUE
lightsteelblue;#B0C4DE;176;196;222;0.2926;0.2880;BLUE;lightsteelblue #B0C4DE 176 196 222 0.2926 0.2880 BLUE
dodgerblue;#1E90FF;30;144;255;0.2124;0.1297;BLUE;dodgerblue #1E90FF 30 144 255 0.2124 0.1297 BLUE
cornflowerblue;#6495ED;100;149;237;0.2355;0.1753;BLUE;cornflowerblue #6495ED 100 149 237 0.2355 0.1753 BLUE
steelblue;#4682B4;70;130;180;0.2491;0.2021;BLUE;steelblue #4682B4 70 130 180 0.2491 0.2021 BLUE
royalblue;#4169E1;65;105;225;0.2051;0.1152;BLUE;royalblue #4169E1 65 105 225 0.2051 0.1152 BLUE
blue;#0000FF;0;0;255;0.167;0.04;BLUE;blue #0000FF 0 0 255 0.167 0.04 BLUE
mediumblue;#0000CD;0;0;205;0.167;0.04;BLUE;mediumblue #0000CD 0 0 205 0.167 0.04 BLUE
darkblue;#00008B;0;0;139;0.167;0.04;BLUE;darkblue #00008B 0 0 139 0.167 0.04 BLUE
navy;#000080;0;0;128;0.167;0.04;BLUE;navy #000080 0 0 128 0.167 0.04 BLUE
midnightblue;#191970;25;25;112;0.1821;0.0698;BLUE;midnightblue #191970 25 25 112 0.1821 0.0698 BLUE
mediumslateblue;#7B68EE;123;104;238;0.2186;0.1419;BLUE;mediumslateblue #7B68EE 123 104 238 0.2186 0.1419 BLUE
slateblue;#6A5ACD;106;90;205;0.2198;0.1443;BLUE;slateblue #6A5ACD 106 90 205 0.2198 0.1443 BLUE
darkslateblue;#483D8B;72;61;139;0.2235;0.1502;BLUE;darkslateblue #483D8B 72 61 139 0.2235 0.1502 BLUE
lavender;#E6E6FA;230;230;250;0.3085;0.3071;PURPLE;lavender #E6E6FA 230 230 250 0.3085 0.3071 PURPLE
thistle;#D8BFD8;216;191;216;0.3342;0.2970;PURPLE;thistle #D8BFD8 216 191 216 0.3342 0.2970 PURPLE
plum;#DDA0DD;221;160;221;0.3495;0.2545;PURPLE;plum #DDA0DD 221 160 221 0.3495 0.2545 PURPLE
violet;#EE82EE;238;130;238;0.3645;0.2128;PURPLE;violet #EE82EE 238 130 238 0.3645 0.2128 PURPLE
orchid;#DA70D6;218;112;214;0.3716;0.2102;PURPLE;orchid #DA70D6 218 112 214 0.3716 0.2102 PURPLE
fuchsia;#FF00FF;255;0;255;0.3826;0.1597;PURPLE;fuchsia #FF00FF 255 0 255 0.3826 0.1597 PURPLE
magenta;#FF00FF;255;0;255;0.3826;0.1597;PURPLE;magenta #FF00FF 255 0 255 0.3826 0.1597 PURPLE
mediumorchid;#BA55D3;186;85;211;0.3362;0.1743;PURPLE;mediumorchid #BA55D3 186 85 211 0.3362 0.1743 PURPLE
mediumpurple;#9370DB;147;112;219;0.2629;0.1772;PURPLE;mediumpurple #9370DB 147 112 219 0.2629 0.1772 PURPLE
blueviolet;#8A2BE2;138;43;226;0.2524;0.1062;PURPLE;blueviolet #8A2BE2 138 43 226 0.2524 0.1062 PURPLE
darkviolet;#9400D3;148;0;211;0.2852;0.1086;PURPLE;darkviolet #9400D3 148 0 211 0.2852 0.1086 PURPLE
darkorchid;#9932CC;153;50;204;0.2986;0.1335;PURPLE;darkorchid #9932CC 153 50 204 0.2986 0.1335 PURPLE
darkmagenta;#8B008B;139;0;139;0.3826;0.1597;PURPLE;darkmagenta #8B008B 139 0 139 0.3826 0.1597 PURPLE
purple;#800080;128;0;128;0.3826;0.1597;PURPLE;purple #800080 128 0 128 0.3826 0.1597 PURPLE
indigo;#4B0082;75;0;130;0.2485;0.0917;PURPLE;indigo #4B0082 75 0 130 0.2485 0.0917 PURPLE
pink;#FFC0CB;255;192;203;0.3947;0.3114;PINK;pink #FFC0CB 255 192 203 0.3947 0.3114 PINK
lightpink;#FFB6C1;255;182;193;0.4105;0.3102;PINK;lightpink #FFB6C1 255 182 193 0.4105 0.3102 PINK
hotpink;#FF69B4;255;105;180;0.4691;0.2468;PINK;hotpink #FF69B4 255 105 180 0.4691 0.2468 PINK
deeppink;#FF1493;255;20;147;0.5388;0.2464;PINK;deeppink #FF1493 255 20 147 0.5388 0.2464 PINK
palevioletred;#DB7093;219;112;147;0.4657;0.2773;PINK;palevioletred #DB7093 219 112 147 0.4657 0.2773 PINK
mediumvioletred;#C71585;199;21;133;0.4997;0.2247;PINK;mediumvioletred #C71585 199 21 133 0.4997 0.2247 PINK
white;#FFFFFF;255;255;255;0.3227;0.3287;WHITE;white #FFFFFF 255 255 255 0.3227 0.3287 WHITE
snow;#FFFAFA;255;250;250;0.3280;0.3286;WHITE;snow #FFFAFA 255 250 250 0.3280 0.3286 WHITE
honeydew;#F0FFF0;240;255;240;0.3210;0.3441;WHITE;honeydew #F0FFF0 240 255 240 0.3210 0.3441 WHITE
mintcream;#F5FFFA;245;255;250;0.3162;0.3346;WHITE;mintcream #F5FFFA 245 255 250 0.3162 0.3346 WHITE
azure;#F0FFFF;240;255;255;0.3125;0.3274;WHITE;azure #F0FFFF 240 255 255 0.3125 0.3274 WHITE
aliceblue;#F0F8FF;240;248;255;0.3098;0.3220;WHITE;aliceblue #F0F8FF 240 248 255 0.3098 0.3220 WHITE
ghostwhite;#F8F8FF;248;248;255;0.3098;0.3220;WHITE;ghostwhite #F8F8FF 248 248 255 0.3098 0.3220 WHITE
whitesmoke;#F5F5F5;245;245;245;0.3227;0.3290;WHITE;whitesmoke #F5F5F5 245 245 245 0.3227 0.3290 WHITE
seashell;#FFF5EE;255;245;238;0.3385;0.3353;WHITE;seashell #FFF5EE 255 245 238 0.3385 0.3353 WHITE
beige;#F5F5DC;245;245;220;0.3401;0.3559;WHITE;beige #F5F5DC 245 245 220 0.3401 0.3559 WHITE
oldlace;#FDF5E6;253;245;230;0.3377;0.3376;WHITE;oldlace #FDF5E6 253 245 230 0.3377 0.3376 WHITE
floralwhite;#FFFAF0;255;250;240;0.3349;0.3388;WHITE;floralwhite #FFFAF0 255 250 240 0.3349 0.3388 WHITE
ivory;#FFFFF0;255;255;240;0.3327;0.3444;WHITE;ivory #FFFFF0 255 255 240 0.3327 0.3444 WHITE
antiquewhite;#FAEBD7;250;235;215;0.3546;0.3488;WHITE;antiquewhite #FAEBD7 250 235 215 0.3546 0.3488 WHITE
linen;#FAF0E6;250;240;230;0.3410;0.3386;WHITE;linen #FAF0E6 250 240 230 0.3410 0.3386 WHITE
lavenderblush;#FFF0F5;255;240;245;0.3357;0.3226;WHITE;lavenderblush #FFF0F5 255 240 245 0.3357 0.3226 WHITE
mistyrose;#FFE4E1;255;228;225;0.4212;0.1823;WHITE;mistyrose #FFE4E1 255 228 225 0.4212 0.1823 WHITE